text,label,source
I need to check the status of my latest order.,order_status,synthetic
Can I cancel my order that I placed yesterday?,cancel_request,synthetic
I received the wrong item and I want a refund.,refund_request,synthetic
Is there a discount available for the product I am interested in?,product_question,synthetic
I am dissatisfied with the service I received.,complaint,synthetic
Where can I find the return policy for my purchase?,product_question,synthetic
I would like to return an item that I no longer need.,refund_request,synthetic
How long will it take for my order to arrive?,order_status,synthetic
Can you help me track my order?,order_status,synthetic
I want to cancel my order because I changed my mind.,cancel_request,synthetic
What is the status of my order?,order_status,synthetic
"I need to cancel my order, can you assist me?",cancel_request,synthetic
I want to request a refund for my purchase.,refund_request,synthetic
Is the new model of the laptop available in black?,product_question,synthetic
I received my package late and I'm dissatisfied with the service.,complaint,synthetic
Could you tell me how long my order will take to arrive?,order_status,synthetic
I accidentally placed an order and want to cancel it immediately.,cancel_request,synthetic
"I am unhappy with the color of the dress I bought, can I return it?",refund_request,synthetic
Is there a way to extend the warranty on my device?,product_question,synthetic
I am frustrated with the poor quality of the headphones I ordered.,complaint,synthetic
I need to check the status of my order number 12345.,order_status,synthetic
Can someone assist me with canceling my order?,cancel_request,synthetic
I am looking to request a refund for my purchase made last week.,refund_request,synthetic
Is the blue version of the product available?,product_question,synthetic
I received my order late and I am quite upset about the inconvenience.,complaint,synthetic
Could you tell me how long it will take to deliver my order?,order_status,synthetic
I want to cancel my order 67890.,cancel_request,synthetic
"I am having trouble with my order, can you help me get a refund?",refund_request,synthetic
Can I know the color options for the product I bought?,product_question,synthetic
"I am unhappy with the service I received, can I get a refund?",complaint,synthetic
What is the status of my recent order?,order_status,synthetic
"I'd like to cancel my order, please.",cancel_request,synthetic
"I need a refund for my purchase, how do I proceed?",refund_request,synthetic
Is there a blue version available for this product?,product_question,synthetic
I received a defective product and want to return it.,complaint,synthetic
Can you update me on when my order will arrive?,order_status,synthetic
I want to cancel my order and request a full refund.,refund_request,synthetic
What should I do if I accidentally ordered something?,order_status,synthetic
